,track_id,name,genre
11994,TRKPQKW128F426C4E2,We've Been Had,Country
12008,TRMIHEH128F428E2BD,I Don't Wanna Grow Up,Country
12135,TRILAOZ128F9308B6A,Ocean,Country
12344,TRRGSWJ128F427AC4E,I Walk the Line,Country
12347,TRLTPPL128F428EAE7,"Take Me Home, Country Roads",Country
12358,TRYRGHP128F426E567,I Still Miss Someone,Country
12366,TRGOLMO128EF35161F,I Hung My Head,Country
12402,TRYHTPS128F427AC56,Hey Porter,Country
12412,TRDFLNY128F932102F,Guess Things Happen That Way,Country
12443,TRJWVJE128F42591A5,Blue Eyes Crying in the Rain,Country
12504,TRUJBNP128F92FF77F,"Gone, Gone, Gone",Country
12522,TRBDPHB128F92C919B,One Piece At A Time,Country
12537,TRZRIGS128F932C905,Far From Any Road,Country
12610,TRONFJS128F428979F,Highwayman,Country
12629,TRCRGXL128F4293471,Take Me With You When You Go,Country
12650,TRPWFQZ128F92EFBA7,Down to the River to Pray,Country
12658,TRLOIUZ128F9363522,Five Feet High And Rising,Country
12717,TRQFQTD128F427024B,Silver Stallion,Country
12722,TRCYXYU12903D10ED6,Ballad Of A Teenage Queen,Country
12770,TRFRXGD128F42717FF,A Thing Called Love,Country
12771,TRFOSRN128F931FF5A,Streets Of Laredo,Country
12806,TRLNINA128F42920FD,Gonna Get Along Without You Now,Country
12862,TRIPUJK12903D1387D,"Oh, Lonesome Me",Country
12881,TRFMYOR12903D13DAC,The Hanging Tree,Country
12905,TRGHBWZ12903CCFE70,Southern Nights,Country
12946,TREHKOC12903CEF511,Every Dog Has Its Day,Country
12961,TRDPHSN128F426C4DF,Effigy,Country
13034,TRQAYYP128F149CB38,Are You Alright?,Country
13095,TRRQNJW128F92FE599,You Don't Know How Lucky You Are,Country
13369,TRMDDXV128F422B8FD,Old Friend,Country
14470,TRDFJZA128F92E67ED,Kim,Country
14512,TRXXIQQ12903CAC8BA,Another Night,Country
14853,TROXZPZ12903CDE202,Criminology,Country
15029,TRFNUOH128F935FD99,Baby Doll,Country
15194,TRLLNZK128E0789B89,Better Life,Country
15247,TRMPCVB128F42B261E,Christine Sixteen,Country
15585,TRIZGAC128F9314CDA,Nashville Skyline Rag,Country
15736,TRABTWX128F42B8619,Calypso,Country
16224,TRLSTMI128F42704B8,Devil Woman,Country
16408,TRCRKHM128F1459CBC,Essence,Country
16844,TRZHIQO128F92DE5B9,Best Days Of Your Life,Country
16869,TRZEMSR128F1488E74,Tonight I Wanna Cry,Country
16904,TRAJEDW12903CA8E70,Not Tonight,Country
16912,TRDJPMG128F92F2AC4,Starting Now,Country
17141,TRQOJUO12903CA280A,Why Don't We Just Dance,Country
17460,TRUEELD128F9304615,The Rose,Country
17491,TRFPEFA128E078F733,All My Ex's Live In Texas,Country
17622,TRUWJIK12903CC278F,Crying In The Rain,Country
17646,TRNIQWF128F4251027,Let's Get It Up,Country
17650,TRXGORE128F9313B5C,Empty Rooms,Country
17688,TRAUJHY128F425B3C0,Islands In The Stream,Country
17871,TRLNJFL128F424E01B,From Now On,Country
18010,TRFNMWZ128F42648B9,Steam,Country
18143,TRPOHJA128F149CB45,Where Is My Love?,Country
18278,TROUJPB12903CED23D,Some Day,Country
18431,TROXUGU128F9309CFE,Downstream,Country
18461,TRSIZVO128F149C300,Wild Wind,Country
19072,TRJSRAV128F931F50F,A Fallen Star,Country
19389,TRUDTHA128F92FE587,Out of Hand,Country
19831,TRCSTLD128F428CACB,The Tower,Country
19907,TRRVEDO128F147B0C9,These Boots,Country
20229,TRNLOGB128F93212F7,Gravedigger,Country
20236,TRJPJZK128F428A3DB,I'm Already Gone,Country
20244,TRXGHOB12903CD5C3A,In Years To Come,Country
20491,TRPQCSR128F422310F,For My Family,Country
20612,TRRHOXP128F426C205,Born To Lose,Country
20838,TRXIVCO128F931D863,Young Love,Country
20945,TRFRYRI128F427FF8A,Green Lights,Country
21137,TRWQMCO128F9307B03,Where I Live,Country
21714,TRMJLOX128F92F17BB,It's A Beautiful Day,Country
21873,TRUEYPO128F1465C5F,Everything's Gonna Be Alright,Country
22077,TRLJOBB128F92E7247,Young,Country
22147,TRFVLLD128F4265C3E,Tennessee,Country
22314,TRLSCFB12903CE3013,Almost Home,Country
22467,TRXKTQD12903C9AB28,Just in Case,Country
22519,TRGULGB128F92F62E1,Back Door,Country
22549,TRRHUUI128F9319B47,I Don't Get It,Country
22842,TRMMHIC128F92E8AE7,Rowboat,Country
23052,TRRUGTF128F146E9AA,Look What I Found,Country
23089,TRBSEKQ128F92F5E9E,Time Warp,Country
23101,TRMBXMA128F92FBC29,Wings of a Dove,Country
23131,TRSHNGA128F9316B65,Kala,Country
23146,TRFQJDJ128F4289C43,East Bound And Down,Country
23170,TRODHKQ128F42962B4,Always Wanting You,Country
23203,TRCREJV128F1455A4B,A Love That Will Never Grow Old,Country
23223,TRTCOLD128F92C91A7,Theme From The Dukes Of Hazzard (Good Ol' Boys),Country
23304,TRRPJHK128F426239A,Work This Out,Country
23319,TRIQSRP128F931157A,Waiting For A Train,Country
23455,TRHAPAW128F424AE6B,Ramblin' Rose,Country
23507,TRCPZPM128F4280658,Satin Sheets,Country
23664,TRZFTZU12903CC666A,Wasted Words,Country
23674,TRJXPZQ128F426911C,Tennessee Whiskey,Country
23744,TRUOKQS128F93522FA,Thirty Days,Country
23759,TRMORAR128F1484D0C,Long Gone Lonesome Blues,Country
23765,TRLJVZW128F42932DD,Honky Tonk Blues,Country
23875,TRDVXAJ128F42950E2,Blue Moon Revisited (Song For Elvis),Country
23876,TRXCWZB128F93480A0,Motherless Children,Country
23931,TRXSZWB12903CF78C8,Down Home Girl,Country
24012,TRIQSAR12903CFB2D8,Pain In My Heart,Country
24036,TRIMDSE12903CA90A5,Goodnight Irene,Country
24088,TRPCAAH12903CEA5A7,Cocaine Habit,Country
24318,TRLOSUE128F1468957,Satan Is Real,Country
24622,TRLYOEW128F9320D07,Take Me Down,Country
24681,TRKOKJW128F4293539,My Maria,Country
24713,TRKMUBL128F42943A5,Chattahoochee,Country
25206,TRARLMP128F42A3AC2,My Little Secret,Country
25326,TREGWEK128F92FE843,Whitewater,Country
25494,TROZSRO128F1456A12,It's Never Too Late,Country
25886,TRXKBKS128F424DA34,Pick Me Up,Country
25897,TRPCREB128F4262082,Anyone Else,Country
26325,TROKLRX128F1464C3B,Lonesome,Country
26344,TRCQUHG12903CEBE6D,In the Pines,Country
26483,TRBJTYF128F42854CC,Part Two,Country
26817,TRCSETO128F429B069,Shades Of Gray,Country
27541,TRLTLQI128F427A4D2,Almost Gone,Country
27675,TRGHMAO128F42BC6D8,Feel Right,Country
27816,TRUTNVB128F92F3682,"Love, Love, Love",Country
27921,TRCNHPW128F42624C2,Those Shoes,Country
28064,TRASDYX128F92E7435,Work To Do,Country
28085,TRXRWIT128F92E7346,All Aboard,Country
28181,TRGNRGM128F428CAAF,Just Another Girl,Country
28476,TRCRWVB128F9311EA7,Wait A Minute,Country
28542,TRIQOKK128F14771B0,Election Day,Country
28744,TRJDLMB128F9313B3F,Why Go?,Country
29025,TREBCBK128F426B01E,No Vacancy,Country
29386,TRQAOWZ128F93000A4,Killin' Time,Country
29441,TRAONPF128F42480A7,This Is My Life,Country
29630,TRDYFUO128F4269973,Yo-Yo,Country
29819,TRBZQBZ12903CA3164,Bugs,Country
29851,TRRLNVT128F428D733,Snowflake,Country
30006,TRAUZFY128F42BCE57,No Good in Goodbye,Country
30148,TRGETIH128F425F277,Kisses Don't Lie,Country
30180,TRCYDXD128F4289C75,Unconditional Love,Country
30189,TREUOGK128F92FE84D,Misty Morning,Country
30294,TRFIRVG128F1456CE4,Sangria Wine,Country
30429,TRWOFLP128F421D683,A Pirate Looks At Forty,Country
30520,TRXVFYH128F149579A,Road Man,Country
30544,TRCWZJT128F4263CBB,Black Lung,Country
30644,TRYGGCW128F428323B,Living In Love,Country
30695,TRCPMJZ128F4255577,It's Alright,Country
30941,TROMNLZ12903CCC6F7,Cry Cry Cry,Country
31028,TRNSIHD12903CCDE9E,Shady Lane,Country
31647,TRYQAWJ128F931B413,Flexibility,Country
31919,TRILDBH128F42BC2CD,In The Ghetto,Country
32001,TRBWBVO12903CEBAD2,Rose Garden,Country
32052,TRGLPXN128F42591A4,Blue Bayou,Country
32288,TRRSQDZ128F42A3B0E,Stick It,Country
32445,TRPGDSP128F931DD22,The Wrong Girl,Country
32498,TRCUISK12903CC5EBB,King Of The Road,Country
32501,TRVTDPW128F42704CA,Mama Tried,Country
32505,TRSCSUR128F93589A4,Walkin' After Midnight,Country
32508,TRRFOWJ128F428FE16,"He Ain't Heavy, He's My Brother",Country
32516,TRLJZED128F4266EDA,Pretty Paper,Country
32527,TREDRRV12903CCB1FF,(Now and Then There's) a Fool Such as I,Country
32555,TRXDFZA12903CB3FB4,She's Got You,Country
32617,TRXLBOF128F92E718F,Silver Dagger,Country
32626,TRUQRQF128F92FBC20,Teddy Bear,Country
32670,TRDAASA128F92F263A,The Wicked Messenger,Country
32682,TROSIXU128F4295024,He'll Have to Go,Country
32716,TRDBGYY128F424E01F,Everybody's Somebody's Fool,Country
32748,TRSPLLD128F92FA4FC,I Am a Pilgrim,Country
32754,TRLZHME128F421A87A,Hello Stranger,Country
32795,TRPLZCJ128F92FFB1A,Galveston,Country
33018,TRXOYOZ12903D0DE53,Chicken Fried,Country
33019,TRUCZTB128F4218750,What Was I Thinkin',Country
33020,TRQYEBP128F92E4F05,People Are Crazy,Country
33021,TRKCQHG128F92E0C1C,Good Directions,Country
33022,TRAMTZM12903D01F9E,The Good Stuff,Country
33023,TRAKIME128F92F148D,I Go Back,Country
33025,TRMMDVB12903CE2FF6,Redneck Yacht Club,Country
33027,TRMBUII12903CC53C9,What Kinda Gone,Country
33028,TRLBEMU128F92FCDC5,Tequila Makes Her Clothes Fall Off,Country
33029,TRFOTVS128F92D858D,I'm So Lonesome I Could Cry,Country
33033,TROXWBT128F9305E67,Red Dirt Road,Country
33035,TRVWVKY128F148D60A,I Love This Bar,Country
33036,TREWFHB128F422B0ED,The More I Drink,Country
33038,TRLOXPI12903CBA55B,"Lover, Lover",Country
33039,TRGRDUH128F42AE383,She's Everything,Country
33040,TRARTPH128E0789C05,Settle For A Slowdown,Country
33041,TREQQTW128F92DC5DE,Eight Second Ride,Country
33043,TRBHUSP128F4242DD0,Should've Been A Cowboy,Country
33044,TRUYKJE12903CE314B,Amarillo Sky,Country
33045,TRFAWKX12903CE30F4,Big Green Tractor,Country
33046,TRACBYL12903CFDBC6,Love Your Love The Most,Country
33047,TRQGTEB12903CCE732,The House That Built Me,Country
33051,TRAELQO128F42AC767,Something To Be Proud Of,Country
33052,TRWETTV128F42680C3,Honky Tonk Badonkadonk,Country
33054,TRQTFUV128F426BFC7,Must Be Doin' Somethin' Right,Country
33055,TRMGWRE128F429FEF5,We Rode In Trucks,Country
33056,TRTAAHY128F428D383,Little Moments,Country
33060,TRHFPNH12903CE3093,Laughed Until We Cried,Country
33061,TRCYBCD128F429AFAB,Ain't Nothing 'Bout You,Country
33062,TRGFXUM12903CCE726,White Liar,Country
33063,TRWDNVX128F9313F4D,Undo It,Country
33071,TRHJSEZ128F1459DCC,I Got A Feelin',Country
33072,TRQIZVH128F428075C,Redneck Woman,Country
33074,TRAVHUC128F429B62B,Sixteen Tons,Country
33076,TRNPXZQ128F92FF4BB,Jump Then Fall,Country
33077,TRLOUGL128F42A3B0B,Pickin' Wildflowers,Country
33078,TRTGKUX128F1459D78,Brokenheartsville,Country
33079,TREIKFM128F14886FE,Trying To Stop Your Leaving,Country
33083,TRCPSEN128F4293E99,Fast Cars And Freedom,Country
33084,TRUWKHZ128F428A4B0,How Forever Feels,Country
33085,TRRLHBX128F9343438,The Man I Want To Be,Country
33086,TRSRXBC128F92CDB0A,Boots On,Country
33089,TRHAWPL128F4261D1D,Travelin' Soldier,Country
33090,TRXDRLB128F92DE270,Mary's Song (Oh My My My),Country
33091,TRVABNY128F147B0C7,Sinners Like Me,Country
33092,TRXHDNL128EF3570CC,Right Where I Need To Be,Country
33093,TRCFRBM128E0789B80,You're My Better Half,Country
33095,TRISZNC12903CA4806,Do I,Country
33096,TRDXRVT128E078EA86,Long Black Train,Country
33097,TRJXFSS128F423746E,Ladies Love Country Boys,Country
33098,TROMDMC12903CE3041,International Harvester,Country
33105,TRJHPZP128E0789C02,Lot Of Leavin' Left To Do,Country
33107,TRZWWJU128F4288383,Just Another Day In Paradise,Country
33111,TRLQULO128F42BBAEC,Red High Heels,Country
33112,TRVWQFC12903D0139C,American Ride,Country
33113,TRAHCDM128F148D60C,American Soldier,Country
33114,TRMLNIE128F429FEFA,You Make Me Want To,Country
33115,TRMZOST12903CE303C,Little Bit of Life,Country
33118,TRUWTAW128F429FEF1,All My Friends Say,Country
33121,TRZBJNI128F14704B5,Gone Country,Country
33122,TREMDLA128F4286AF4,Life Ain't Always Beautiful,Country
33123,TRAUWUX128F92FE41C,When You Say Nothing At All,Country
33124,TRPZEWS128F92F585E,That's How Country Boys Roll,Country
33125,TRQRHUG128F14A8949,Settlin',Country
33128,TRJEVTR128F429FEF6,I'll Stay Me,Country
33130,TRMDWCR128F427F0AD,If You Ever Stop Loving Me,Country
33132,TRNPVZD128EF3570CD,Songs About Rain,Country
33134,TRXXVOG128F92F411D,Don't Think I Don't Think About It,Country
33135,TRBZPAI128F932B9F4,Whatever it is,Country
33138,TRHTOYT128F429FEF4,Pray About Everything,Country
33139,TRBUIPK12903CA52AD,Keg in the Closet,Country
33141,TRWSITX128F147B0D0,Two Pink Lines,Country
33147,TRHOQVZ128F9305E5B,Hillbilly Deluxe,Country
33148,TRJIJKL128F42BC59F,My Front Porch Looking In,Country
33149,TRKDFQB128F1474A12,"I Breathe In, I Breathe Out",Country
33152,TRVDFCY128F4261D33,There's Your Trouble,Country
33160,TRUONZJ128F4226820,So Doggone Lonesome,Country
33165,TRDKMPV128F429FEF7,First Love Song,Country
33166,TROZBHS128F93004CD,Whiskey Lullaby,Country
33167,TRZDMLR128F42854CB,I'm Gonna Miss Her,Country
33171,TRXNMLB128F92ED60B,Lost In This Moment,Country
33173,TRPUVPH128F4263CB2,Black Soul Choir,Country
33174,TRYLDXV128F425E722,Every Light In The House,Country
33177,TRTXEMZ128F42AE127,Easy Silence,Country
33179,TRNPJJC128F9322C78,SuperStar,Country
33181,TRZLTKY128F1459D79,She Only Smokes When She Drinks,Country
33186,TREZPCG128F42AE124,The Long Way Around,Country
33187,TRCTJJN128F1461F0A,Strawberry Wine,Country
33190,TRZTNJN128E078A2CF,Miss Me Baby,Country
33198,TRGOMRQ128F92F2D87,San Quentin,Country
33199,TRVHCIE128F92CAE87,Pancho And Lefty,Country
33204,TRANFWS128F92FE832,Where I Come From,Country
33205,TRAENWD128F426C247,You Never Even Called Me By My Name,Country
33211,TRNETOG128F42BBAEF,Didn't You Know How Much I Loved You,Country
33213,TRDTFHQ128F147B0CA,What I Almost Was,Country
33217,TRLXWJY12903CCE727,Only Prettier,Country
33218,TRXITUO128F93236F5,American Saturday Night,Country
33222,TRKBBJS128E078F728,You Look So Good In Love,Country
33223,TRVKIBX128F42BCE52,Alyssa Lies,Country
33224,TRCRIWW128F1459DD0,Walk A Little Straighter,Country
33227,TRCIHFM128F148C3B9,Car Wheels On A Gravel Road,Country
33228,TRIEREA128F429FEFB,Tackle Box,Country
33229,TRHJAGM128F92FBDF7,Mean Eyed Cat,Country
33230,TRDDILH128F92C2615,More Like Her,Country
33231,TRHWTVK128E078E824,Don't Be Stupid (You Know I Love You),Country
33246,TRJTHQT128F4261855,You Were Mine,Country
33252,TRJFKMB128F428BEB1,Everyday America,Country
33254,TREPQXL128F4242DED,"Courtesy Of The Red, White And Blue (The Angry American)",Country
33255,TRYMPFV128F42376D4,Good Hearted Woman,Country
33258,TRJATSM128F428A47A,She's Got It All,Country
33261,TRUEVBR128F422310A,Old Number Seven,Country
33262,TRJWLCN128F4237473,Rough & Ready,Country
33264,TRDYWTD128F149598D,"Love Without End, Amen",Country
33266,TRUWKDV128F92DE274,A Perfectly Good Heart,Country
33271,TRXTJOP128F425554C,Tough Little Boys,Country
33278,TRAKUMK128F933AA30,Let Your Love Flow,Country
33283,TRCLYRC128F146E9A9,Chicks Dig It,Country
33287,TRDKWVZ128E0798B2C,Wal-Mart Parking Lot,Country
33288,TROPXRT128F92E723A,Smoothie Song,Country
33290,TRYGRZD128F92DE5FE,Holler Back,Country
33291,TRUUGXE128F42854A6,The Bargain Store,Country
33292,TRXKWPB128F4242DFB,Get Drunk And Be Somebody,Country
33294,TROOSSU128F4291A7D,Goodnight Rose,Country
33296,TRUWBBR128F92DB073,Who Are You When I'm Not Looking,Country
33299,TRBSBBC128F9328DBF,Just Might (Make Me Believe),Country
33300,TRQOSGI128F4291A83,The Sun Also Sets,Country
33305,TRIEDBK128F92F2ABE,Stealing Cinderella,Country
33307,TRZARDX128F933CEFC,Deeper Than the Holler,Country
33313,TRGZRNJ128F92F4139,It Won't Be Like This For Long,Country
33315,TRJQMGV128F42854D9,"No Shoes, No Shirt, No Problems",Country
33323,TRFTYOQ12903CA4808,Someone Else Calling You Baby,Country
33324,TRESFZR128F930FE04,Misguided Angel,Country
33328,TRIADTK128F4291A82,Tears Of Gold,Country
33330,TRLSCIQ12903CFDBEE,Feel That Fire,Country
33332,TRYNULR128F149EF00,Jacksonville Skyline,Country
33333,TRULWUG128F9317EC6,The Hard Way,Country
33335,TRETBHZ128F92CDAF6,Always The Love Songs,Country
33336,TRDFNJZ12903D0F03D,For the Good Times,Country
33337,TRVKWHZ128EF3570CF,Her Man,Country
33344,TRVLJHI128E0791742,XXX's And OOO's (An American Girl),Country
33348,TREUDYW128F92FCDC1,Size Matters (Someday),Country
33349,TROKUQB128F1474A07,My Love Goes On And On,Country
33351,TRMZNYS128F4261A2D,I Can Love You Better,Country
33352,TRJJWLJ128F428AD88,Wild Angels,Country
33356,TRQFAJU12903CE3164,You're The Love I Wanna Be In,Country
33364,TRZUDKE128F14639C0,Coal Miner's Daughter,Country
33366,TRHFCTL128F426C477,Blacklisted,Country
33367,TROQONP128F1484D02,Convoy,Country
33369,TRPNKXE128F933B0D1,Elvis Presley Blues,Country
33370,TRNIIAQ128F426376F,Modern Day Bonnie And Clyde,Country
33372,TREXUWY128F4299A4A,Rock My World (Little Country Girl),Country
33374,TRJWRCP12903CCC094,Stars Tonight,Country
33375,TRWNKRJ128F424809C,That Song In My Head,Country
33377,TRAJWJF12903D01C45,Doin' My Time,Country
33379,TRSLOXT128F428F202,Who Wouldn't Wanna Be Me,Country
33380,TRGDDPS128F92F22AE,Love Is Like a Butterfly,Country
33381,TRIOZOU128F425D9A4,My Life's Been A Country Song,Country
33382,TRTSHJH12903CE3154,Even If I Wanted To,Country
33383,TREVYSN12903CCC092,Love This Pain,Country
33386,TRSTZEM128F425D411,Houses On The Hill,Country
33392,TRYDQHN128F92E7199,The Lighthouse's Tale,Country
33393,TRNUION128F4295850,New Strings,Country
33399,TRUWVZG128F92E379D,At the Beach,Country
33401,TROSJXV128F42905C0,A Good Run Of Bad Luck,Country
33403,TRMKGXJ128F423A067,Another Side Of You,Country
33410,TRWVMGS128E0783EB1,Ka-Ching!,Country
33411,TRUGIIC128F92C3219,Do You Believe Me Now,Country
33414,TRDZXYJ128F148ADAF,I Miss My Friend,Country
33422,TRHTBGA12903D052B2,I Corinthians 15:55,Country
33425,TRHBPBW128F933B0CC,My First Lover,Country
33426,TRIBOAL128F4246AA1,I Seen What I Saw,Country
33428,TRFROET128F148CF1F,You Shouldn't Kiss Me Like This,Country
33430,TRRDAFG12903CC6073,John Deere Green,Country
33454,TRGCZHX128F42AC2E6,You'll Always Be My Baby,Country
33460,TROMEDO128F42BBAEE,Things That Never Cross A Man's Mind,Country
33461,TROKFWT128F1461F0B,We Danced Anyway,Country
33463,TROYHKD128F92F3EDD,T-R-O-U-B-L-E,Country
33469,TRDQKMQ128E07913B4,2 Kool 2 Be 4-Gotten,Country
33472,TRRPAYZ128F423A06D,It Ain't No Crime,Country
33473,TRKKMEX12903CFBD30,All Jacked Up,Country
33476,TRKNNQP128EF3570CE,Smoke Rings In The Dark,Country
33481,TROQKHA128F92E7468,When In Rome,Country
33483,TRULQPU128F148CF17,How Do You Like Me Now?!,Country
33487,TRBOVEH128F426C4E0,The Long Cut,Country
33489,TRHXZRK12903D02C2D,Wreck of the Old 97,Country
33490,TRSSXAF128F92EAB44,Chasin' That Neon Rainbow,Country
33491,TRCZEZF12903CBAB30,Back Home Again,Country
33493,TRYBJME128F425DA4D,Ten Rounds With Jose Cuervo,Country
33495,TRXDAGS128F149D988,The Keeper Of The Stars,Country
33496,TRITJWF12903CEC6B3,Crazy Dreams,Country
33497,TRKUCYF12903D06F03,Blowin' Smoke,Country
33500,TRXIWSJ128F92F9D6C,Red Clay Halo,Country
33501,TRDQBTY128F42645F2,Longhaired Redneck,Country
33503,TRLFTHE128F4287D66,Honky Tonk Heroes,Country
33505,TRYWWQC128F933761F,Learning How To Bend,Country
33509,TREPBAM128F148ADE3,Have You Forgotten?,Country
33511,TRKFNJT128F428A272,My Heroes Have Always Been Cowboys,Country
33512,TRUOKYS12903CEA5AA,James River Blues,Country
33513,TRPQCUJ128F1459DED,I Do (Cherish You),Country
33518,TRUKKNT128F428A3CA,Nothin' But The Taillights,Country
33523,TRFUECZ128F427C092,16 Days,Country
33526,TRAGPJO128F933B0EF,Orphan Girl,Country
33530,TRMGFVP128F4269F84,Screen Door,Country
33532,TRVVKYP128F1468896,(This Ain't) No Thinkin' Thing,Country
33539,TRDCATF128F421D650,L.A. Freeway,Country
33543,TRLWSUA128F149EEFF,Don't Wanna Know Why,Country
33551,TRSSNUP128F42B841A,Truth No. 2,Country
33554,TRITEWS128F428D91A,Houston,Country
33556,TRKYFKI128E078E83A,Whose Bed Have Your Boots Been Under?,Country
33558,TRXCRZO128F4264CBF,It Must Be Love,Country
33560,TRERQAB128F4251F48,Southside Of Heaven,Country
33562,TROQSZT128F92EF1B4,Love A Little Stronger,Country
33574,TRKOZVY12903CFDBD0,Hell On The Heart,Country
33575,TRLJTWB128F4278B29,Time of the Preacher,Country
33582,TRTRPHP128F424809F,My Hallelujah Song,Country
33586,TRDLXPP12903CC65B9,Rye Whiskey,Country
33587,TRJKXFH128F93236FB,Welcome To The Future,Country
33588,TRJKBXA128F92C986D,Passionate Kisses,Country
33589,TRGCCRV128F429E84F,Rainy Day Woman,Country
33593,TRHBNSC12903CEA41C,Trials & Troubles,Country
33601,TRVUPMJ128F42AF1EA,My Next Thirty Years,Country
33602,TRQDRWP128F425CDF7,No Place To Fall,Country
33604,TRQICYN12903CC78E3,Someday When I'm Old,Country
33609,TRXDDIM128F4261D22,White Trash Wedding,Country
33611,TRVEXHP12903CC7911,A Lot To Learn About Livin',Country
33612,TRIOFGR128F1459D7C,Cool To Be A Fool,Country
33614,TRHDFIL128F426C245,If That Ain't Country,Country
33615,TRFXKAY128F429940C,He Didn't Have To Be,Country
33616,TRBEWMB128F1455C56,Branded Man,Country
33629,TRVZQSD128F93236FC,Anything Like Me,Country
33632,TRWEQSO128F42798CF,Chickamauga,Country
33634,TRQAXAB128E078E82D,Rock This Country!,Country
33635,TRUCEMO128F92E7467,Out Of The Woods,Country
33639,TRXEVLZ128F42AE13E,Favorite Year,Country
33642,TRKTIFB128F92CDB11,My Kinda Country,Country
33643,TRPLFFW128F4291A08,Who's Cheatin' Who,Country
33646,TRVFVHA128E078E844,You Win My Love,Country
33648,TRLLGUH128F426E575,Have A Heart,Country
33650,TRCHZRN12903CC607B,Third Rock from the Sun,Country
33653,TRUFTXX128F14956CD,Pickin' Time,Country
